objectid,site_name,address,phone_number,category,zip_code,temporary_closure,category_type,site_key,status,website,x,y,hours_mon_start1,hours_mon_end1,hours_mon_start2,hours_mon_end2,hours_mon_exceptions,hours_tues_start1,hours_tues_end1,hours_tues_start2,hours_tues_end2,hours_tues_exceptions,hours_wed_start1,hours_wed_end1,hours_wed_start2,hours_wed_end2,hours_wed_exceptions,hours_thurs_start1,hours_thurs_end1,hours_thurs_start2,hours_thurs_end2,hours_thurs_exceptions,hours_fri_start1,hours_fri_end1,hours_fri_start2,hours_fri_end2,hours_fri_exceptions,hours_sat_start1,hours_sat_end1,hours_sat_start2,hours_sat_end2,hours_sat_exceptions,hours_sun_start1,hours_sun_end1,hours_sun_start2,hours_sun_end2,hours_sun_exceptions,email,seasonally_closed
104,Nativity Satellite Program,3255 Belgrade St,215-423-2772,PCA,19134,,Senior Meal Site,1,Active,https://www.pcacares.org/,-75.10278303,39.98691001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,King Older Adult Center,2100 W. Cecil B. Moore Ave.,215-685-2715,PPR_Senior,19121,,Senior Meal Site,2,Active,https://www.phila.gov/programs/programs-for-older-adults/,-75.1696037,39.97998455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Bethel Worship Center,169 W. Wyoming Ave.,267-979-3718,SHARE FOOD PROGRAM,19120,,Food Site,227,Active,https://www.sharefoodprogram.org/,-75.12701983,40.02204029,9:00:00,13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Hope Prison Ministries,735 W. Butler St.,610-633-1789,SHARE FOOD PROGRAM,19120,,Food Site,210,Active,https://www.sharefoodprogram.org/,-75.13759271,40.02649652,10:00:00,14:00:00,,,,,,,,,,,,,,,,,,,10:00:00,14:00:00,,,,,,,,,,,,,,,
221,Frontline Dads (410 N 34th St.),410 N 34th St,(484) 532-8772,SHARE FOOD PROGRAM,19104,,Food Site,208,Permanently Closed,https://www.sharefoodprogram.org/,-75.19128904,39.96170764,,,,,,,,,,,,,,,,11:30:00,13:00:00,,,,,,,,,11:30,13:00,,,,,,,,,,
223,New Life Community Center,4726 N Broad St,267-766-2945,SHARE FOOD PROGRAM,19141,,Food Site,211,Active,https://www.sharefoodprogram.org/,-75.14790726,40.02544206,,,,,,7:00:00,12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Family Support Circle,2059 E Chelten Ave,267-335-5857,SHARE FOOD PROGRAM,19138,,Food Site,205,Active,https://www.sharefoodprogram.org/,-75.15405898,40.05188536,,,,,,10:00:00,16:00:00,,,Open on second and fourth Tuesdays of the month,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Second Antioch Baptist Church,912 N 41st St,215-387-6774,SHARE FOOD PROGRAM,19104,,Food Site,203,Active,https://www.sharefoodprogram.org/,-75.20607914,39.97080192,,,,,,,,,,,12:00:00,14:00:00,,,,,,,,,,,,,,9:00,11:00,,,,,,,,,,
228,Resurrection Community Church,6200 Dicks Ave,215-724-0822,PHILABUNDANCE/SHARE FOOD PROGRAM,19142,,Food Site,212,Active,https://www.sharefoodprogram.org/,-75.22391889,39.92224244,,,,,,,,,,,10:00:00,12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
230,St. Benedict Food Bank,1940 E Chelten Ave,215-548-2700,SHARE FOOD PROGRAM,19138,,Food Site,213,Active,https://www.sharefoodprogram.org/,-75.15165703,40.0515649,10:00:00,11:30:00,,,,,,,,,,,,,,,,,,,10:00:00,11:30:00,,,,,,,,,,,,,,,
