Census Tract,Population,Housing Units in Tract,"LI, LA - 1 mile radius","LI, LA - 0.5 mile radius",Low Income Tracts,Poverty Rate (%),Median Family Income,LA - 1 mile radius,LA - 0.5 mile radius,"LA,LI - 0.5 mile radius","LA - Kids population, 0.5 mile radius","LA - Senior population, 0.5 mile radius","LA - Kids population, 1 mile radius","LA - Senior population, 1 mile radius","LA - Housing Units w/ Snap Benefits, 0.5 mile radius","LA - Housing Units w/ Snap Benefits, 1 mile radius",Total Count of Housing w/ Snap Benefits
42101000100,3478,2301,0,0,0,6.93710993759002,124729.0,0,0,,,,,,,,12
42101000200,2937,1145,0,0,1,29.2533659730722,47806.0,0,0,,,,,,,,95
42101000300,3169,1855,0,0,0,9.25521969460891,143482.0,0,0,,,,,,,,32
42101000401,2125,1584,0,0,0,17.6973940101128,129531.0,0,0,,,,,,,,202
42101000402,3142,2273,0,0,0,4.69072164948454,125917.0,0,0,,,,,,,,78
42101000500,2329,684,0,0,1,33.1536388140162,108636.0,0,0,,,,,,,,108
42101000600,1781,723,0,0,0,12.949640287769801,130096.0,0,0,,,,,,,,25
42101000700,3082,2176,0,0,0,14.5239376008607,144259.0,0,0,,,,,,,,73
42101000801,1562,1017,0,0,0,8.817354793561929,216375.0,0,0,,,,,,,,0
42101000803,3601,2590,0,0,0,6.6537467700258395,125865.0,0,0,,,,,,,,15
42101000804,3609,2589,0,0,0,8.76511226252159,170484.0,0,0,,,,,,,,51
42101000901,2276,1729,0,0,1,24.581280788177303,92292.0,0,0,,,,,,,,89
42101000902,2773,1419,0,0,0,13.8609532138172,197891.0,0,0,,,,,,,,320
42101001001,2603,1600,0,0,0,5.2755905511811,163309.0,0,0,,,,,,,,9
42101001002,3612,2099,0,0,0,5.8385804235832905,170671.0,0,0,,,,,,,,16
42101001101,3586,2097,0,0,0,19.1228635923896,165385.0,0,0,,,,,,,,122
42101001102,2659,1624,0,0,0,16.3658736669401,114167.0,0,0,,,,,,,,59
42101001201,3778,2052,0,0,0,4.0931372549019605,164464.0,0,0,0.0,0.0,0.0,,,0.0,,43
42101001202,5137,3131,0,0,0,9.36283548453186,169408.0,0,0,,,,,,,,11
42101001300,4942,2470,0,0,0,6.4196790160492,142444.0,0,0,0.0,0.0,0.0,,,0.0,,420
42101001400,3950,2129,0,0,0,11.6340815833937,181106.0,0,0,,,,,,,,288
42101001500,2708,1336,0,0,0,9.8026734563972,124718.0,0,0,,,,,,,,159
42101001600,2192,1162,0,0,0,6.18257261410788,196964.0,0,0,,,,,,,,8
42101001700,2647,1392,0,0,0,3.78611756891398,166771.0,0,0,,,,,,,,48
42101001800,2873,1382,0,0,0,5.01802884615385,126923.0,0,0,,,,,,,,96
42101001900,2721,1292,0,0,0,10.5841526894158,112569.0,0,0,,,,,,,,167
42101002000,2092,861,0,0,1,18.4599156118143,48024.0,0,0,,,,,,,,231
42101002100,2036,840,0,0,1,19.4055944055944,53750.0,0,0,,,,,,,,194
42101002200,2281,1018,0,0,1,21.1337868480726,61731.0,0,0,,,,,,,,244
42101002300,2682,1232,0,0,0,7.73214946355901,74773.0,0,0,,,,,,,,146
42101002400,5129,2273,0,0,0,10.673701298701301,85671.0,0,0,,,,,,,,231
42101002500,3769,1669,0,0,1,17.545982575024198,58281.0,0,0,,,,,,,,262
42101002701,3874,1463,0,0,1,26.0741745816373,57643.0,0,0,,,,,,,,365
42101002702,3566,1704,0,0,1,12.178649237472799,69276.0,0,0,,,,,,,,143
42101002801,4324,1561,0,0,1,19.501809665744098,51386.0,0,0,,,,,,,,405
42101002802,5539,2269,0,0,0,11.4946556859996,74076.0,0,0,,,,,,,,149
42101002900,4141,2047,0,0,0,18.945553091894602,102344.0,0,0,44.3108146190643,11.0005562901497,11.7339096069336,,,5.15202264487743,,222
42101003001,4664,1614,0,1,1,17.8717271198655,49688.0,0,1,1273.73209571838,633.831553459167,287.549484610558,,,260.664925098419,,384
42101003002,3200,1320,0,0,1,22.2028581387243,48438.0,0,0,,,,,,,,306
42101003100,4437,1840,0,1,1,19.6658387897945,44674.0,0,1,722.357761897147,333.542496597394,181.843752342276,,,145.415365366265,,567
42101003200,4875,1797,0,1,1,37.6503892427459,34972.0,0,1,692.279186725616,348.805051088333,145.588596969843,,,153.029833287001,,607
42101003300,6162,2295,0,1,1,32.8703703703704,37049.0,0,1,564.931737020612,207.455570876598,127.935807809234,,,125.513264462352,,804
42101003600,6723,2635,0,1,1,42.3327412670219,24904.0,0,1,2328.88273572922,1183.84131240845,577.674381248653,,,559.570520237088,,943
42101003701,6609,2259,0,1,1,29.940526762956697,37060.0,0,1,3074.30015615968,1661.24154154659,421.235698139844,,,692.691308627438,,770
42101003702,3707,1350,0,0,1,22.2305389221557,42537.0,0,0,,,,,,,,378
42101003800,3898,1645,0,0,1,5.98529038802942,71250.0,0,0,,,,,,,,131
42101003901,6062,2674,0,1,1,19.7433962264151,54007.0,0,1,2211.40673351288,925.460896074772,788.088388606906,,,556.252133853734,,632
42101003902,5507,2448,0,0,1,9.9448466046191,64962.0,0,0,144.135184288025,63.89413189888,76.845445394516,,,29.3192586898804,,354
